Date,Country,City,Specie,count,min,max,median,variance
5/20/2020,MN,Ulan Bator,o3,86,1.9,16.5,6.5,112
6/7/2020,MN,Ulan Bator,o3,106,6.8,29.9,13.8,439.22
6/10/2020,MN,Ulan Bator,o3,104,3.7,33.3,11.4,547.3
6/16/2020,MN,Ulan Bator,o3,67,8.2,32.5,16.1,556.83
2/17/2020,MN,Ulan Bator,o3,114,0.5,43.3,4.5,1248.42
4/11/2020,MN,Ulan Bator,o3,110,4.5,26.6,14.7,437.68
4/19/2020,MN,Ulan Bator,o3,103,8.2,27.7,16.2,282.73
6/19/2020,MN,Ulan Bator,o3,67,4.9,32.9,13,598.3
6/20/2020,MN,Ulan Bator,o3,48,7,32.9,14.7,648.39
7/3/2020,MN,Ulan Bator,o3,72,3.3,42.7,12.5,1161.9
1/8/2020,MN,Ulan Bator,o3,67,0.5,8.2,4.9,54.55
1/29/2020,MN,Ulan Bator,o3,112,4.4,19,9.8,99.53
3/6/2020,MN,Ulan Bator,o3,127,0.9,18.7,8.7,145.23
3/21/2020,MN,Ulan Bator,o3,118,3.7,59.4,9.8,1824.5
4/8/2020,MN,Ulan Bator,o3,106,4.9,23.4,11.7,261.61
6/1/2020,MN,Ulan Bator,o3,93,4.5,21.2,9.8,262.96
4/21/2020,MN,Ulan Bator,o3,96,4.1,34.2,13.9,408.84
7/11/2020,MN,Ulan Bator,o3,90,1.7,35.4,9.3,1117.96
2/7/2020,MN,Ulan Bator,o3,115,0.5,20.6,3.7,200.07
4/5/2020,MN,Ulan Bator,o3,111,2.9,28.1,12.2,474.47
7/12/2020,MN,Ulan Bator,o3,82,0.5,41.5,12,1264.26
7/21/2020,MN,Ulan Bator,o3,13,3.7,28.7,8.6,927.14
2/28/2020,MN,Ulan Bator,o3,113,4.9,48,11.4,1790.26
4/12/2020,MN,Ulan Bator,o3,112,9.4,28.5,15.2,358.88
5/15/2020,MN,Ulan Bator,o3,88,3.7,17.9,10.2,142.49
5/21/2020,MN,Ulan Bator,o3,82,1.8,17.9,8.2,176.76
5/26/2020,MN,Ulan Bator,o3,66,2.4,13.5,8.4,100.13
5/27/2020,MN,Ulan Bator,o3,69,0.5,19.3,8.2,265.61
5/31/2020,MN,Ulan Bator,o3,87,3.3,19.5,8.3,161.15
2/18/2020,MN,Ulan Bator,o3,115,0.5,29.5,4.1,657.82
2/25/2020,MN,Ulan Bator,o3,98,9.9,101.1,17.5,7656.21
3/30/2020,MN,Ulan Bator,o3,105,4.5,26.9,15.1,332.49
4/22/2020,MN,Ulan Bator,o3,110,2.9,33.3,11.8,443.32
6/18/2020,MN,Ulan Bator,o3,64,3.3,25.8,12.6,440.21
4/28/2020,MN,Ulan Bator,o3,113,2.9,27.3,11.1,481.55
1/15/2020,MN,Ulan Bator,o3,55,0.5,8.6,1.7,70.61
2/13/2020,MN,Ulan Bator,o3,101,2.1,36.4,17.9,549.3
2/23/2020,MN,Ulan Bator,o3,93,0.5,23.6,7.8,456.68
3/9/2020,MN,Ulan Bator,o3,137,1.3,24.6,8.6,227.65
