date, pm25, pm10, o3, no2, so2, co
11/30/14,148,53,31,29,15,18
12/1/14,137,88,45,20,16,9
12/2/14,125,104,135,29,33,15
12/3/14,157,87,29,33,28,13
12/4/14,156,101,137,35,25,16
12/5/14,197,115,64,48,36,19
12/6/14,193,91,47,42,34,16
12/7/14,166,96,50,36,20,14
12/8/14,162,108,80,40,39,17
12/9/14,223,98,35,37,30,28
12/10/14,200,76,35,26,20,12
12/11/14,175,93,30,29,22,8
12/12/14,155,118,48,39,24,13
12/13/14,176,115,45,51,29,15
12/14/14,211,107,39,49,40,16
12/15/14,179,125,37,47,38,17
12/16/14,176,96,47,25,15,8
12/17/14,104,114,41,45,22,16
12/18/14,168,154,30,47,39,19
12/19/14,181,102,48,38,28,16
12/20/14,160,120,61,43,28,24
12/21/14,195,99,48,30,25,24
12/22/14,164,111,44,45,38,28
12/23/14,176,116,31,46,43,19
12/24/14,188,152,42,62,37,30
12/25/14,230,132,35,40,28,20
12/26/14,262,101,47,38,34,26
12/27/14,191,80,35,32,18,22
12/28/14,176,89,48,31,26,22
12/29/14,189, , , , , 
1/1/15, ,109,29,43,31,20
1/2/15,156,127,24,46,43,19
1/3/15,178,181,37,52,34,24
1/4/15,222,160,36,68,52,27
1/5/15,224,153,22,56,40,22
1/6/15,247,140,19,36,39,25
1/7/15,324,125,38,43,21,23
1/8/15,212,154,39,67,27,23
1/9/15,243,167,28,69,31,29
1/10/15,285,222,41,78,34,41
1/11/15,309,219,36,77,35,34
1/12/15,302,131,43,54,29,24
1/13/15,234,94,32,37,21,22
1/14/15,187,80,32,36,13,13
1/15/15,191,114,22,49,21,22
1/16/15,203,112,38,46,18,19
1/17/15,201,121,57,48,35,22
1/18/15,211,129,51,45,25,14
1/19/15,200,126,51,55,35,20
1/20/15,215,143,29,59,34,20
1/21/15,193,203,45,47,30,35
1/22/15,214,110,43,41,48,33
1/23/15,186,102,31,48,46,21
1/24/15,173,211,35,55,36,33
1/25/15,193,160,30,36,20,36
1/26/15,312,138,24,36,23,57
1/27/15,336,80,48,19,13,26
1/28/15,198,21,40,16,10,11
1/29/15,120,42,41,21,22,13
1/30/15,148,64,49,26,20,14
1/31/15,174,89,54,27,19,17
2/1/15,205,88,47,35,14,18
2/2/15,208,73,29,31,16,18
2/3/15,189,125,39,29,14,17
2/4/15,207,188,68,49,25,23
2/5/15,260,172,42,52,36,24
2/6/15,255,134,56,57,31,19
2/7/15,210,215,34,70,32,22
2/8/15,230,137,52,40,35,26
2/9/15,256,84,51,36,22,17
2/10/15,160,96,65,48,38,15
2/11/15,177,117,57,43,40,17
2/12/15,218,168,53,58,48,25
2/13/15,253,202,83,72,52,33
2/14/15,236,123,47,51,46,21
2/15/15,203,89,39,36,41,21
2/16/15,187,135,35,43,32,26
2/17/15,208,155,92,47,24,21
2/18/15,222,129,57,32,23,24
2/19/15,200,112,41,25,20,20
2/20/15,196,56,27,14,10,16
2/21/15,134,67,53,19,13,14
2/22/15,163,99,45,27,9,19
2/23/15,206,87,40,24,13,20
2/24/15,191,83,23,26,11,16
2/25/15,177,69,18,26,13,18
2/26/15,169,57,44,27,14,16
2/27/15,155,42,29,21,11,17
2/28/15,136,28,32,14,10,12
3/1/15,95,64,34,34,14,15
3/2/15,157,77,50,39,20,16
3/3/15,174,176,50,21,16,13
3/4/15,164,75,38,31,19,25
3/5/15,147,57,31,19,14,13
3/6/15,152,92,47,27,18,21
3/7/15,189,84,58,30,25,14
3/8/15,175,71,25,34,28,17
3/9/15,160,103,62,32,26,39
3/10/15,196,123,31,29,23,20
3/11/15,228,98,30,39,26,19
3/12/15,173,102,49,43,31,14
3/13/15,173,159,42,54,36,21
3/14/15,185,140,30,46,30,20
3/15/15,178,106,11,33,29,29
3/16/15,194,84,52,31,32,20
3/17/15,175,50,16,26,31,23
3/18/15,135,25,18,20,15,19
3/19/15,97,50,37,22,19,19
3/20/15,131,51,32,26,18,28
3/21/15,134,96,64,43,26,21
3/22/15,176,130,59,50,32,25
3/23/15,180,117,65,40,29,20
3/24/15,163,123,71,40,32,23
3/25/15,168,104,66,42,35,29
3/26/15,153,77,53,37,28,22
3/27/15,156,76,50,33,19,17
3/28/15,164,102,58,45,25,20
3/29/15,176,111,55,46,29,28
3/30/15,182,58,37,28,27,24
3/31/15,153,74,70,30,33,20
4/1/15,154,97,46,40,38,32
4/2/15,164,46,43,26,32,24
4/3/15,96,94,30,39,50,30
4/4/15,140,50,25,24,30,27
4/5/15,141,48,57,19,8,15
4/6/15,143,58,63,20,9,18
4/7/15,161,65,55,15,9,25
4/8/15,146,56,45,27,10,12
4/9/15,136,75,62,38,19,13
4/10/15,154,103,73,40,16,20
4/11/15,200,155,91,62,25,24
4/12/15,188,127,65,36,14,12
4/13/15,136,97,71,29,12,8
4/14/15,104,103,82,38,19,10
4/15/15,141,119,37,55,29,18
4/16/15,164,112,66,38,21,32
4/17/15,171,134,63,42,43,47
4/18/15,168,114,37,46,26,26
