date, pm25, pm10, o3, no2, so2, co
2019/6/13, 55, 15, , 15, , 
2019/6/14, 34, 29, , 24, , 
2019/6/15, 59, 44, , 10, , 
2019/6/16, 59, 27, , 12, , 
2019/6/17, 53, 21, , 20, , 
2019/6/18, 55, 20, , 25, , 
2019/6/19, 53, 23, , 20, , 
2019/6/20, 57, 18, , 13, , 
2019/6/21, 46, 23, , 15, , 
2019/6/22, 53, 20, , 9, , 
2019/6/23, 46, 16, , , , 
2019/6/24, 38, 15, , , , 
2019/6/25, 42, 14, , , , 
2019/6/26, 42, 20, , 30, , 
2019/6/27, 57, 23, , 32, , 
2019/6/28, 59, 30, , 21, , 
2019/6/29, 70, 20, , 5, , 
2019/6/30, 57, 15, , 7, , 
2019/7/1, 42, 20, , 24, , 
2019/1/2, 182, 24, , 38, , 
2019/1/3, 72, 21, , 42, , 
2019/1/4, 63, 46, , 44, , 
2019/1/5, 107, 62, , 46, , 
2019/1/6, 155, 77, , 46, , 
2019/1/7, 172, 78, , 56, , 
2019/1/8, 170, 87, , 51, , 
2019/1/9, 181, 71, , 59, , 
2019/1/10, 164, 21, , 52, , 
2019/1/11, 59, 28, , 44, , 
2019/1/12, 74, 49, , 48, , 
2019/1/13, 122, 72, , 51, , 
2019/1/14, 166, 50, , 54, , 
2019/1/15, 122, 26, , 62, , 
2019/1/16, 65, 53, , 45, , 
2019/1/17, 127, 16, , 37, , 
2019/1/18, 53, 16, , 42, , 
2019/1/19, 50, 6, , 12, , 
2019/1/20, 17, 10, , 11, , 
2019/1/21, 34, 10, , 11, , 
2019/1/22, 46, 19, , 38, , 
2019/1/23, 63, 17, , 30, , 
2019/1/24, 59, 14, , 14, , 
2019/1/25, 50, 20, , 22, , 
2019/1/26, 63, 32, , 46, , 
2019/1/27, 87, 53, , 39, , 
2019/1/28, 144, 10, , 36, , 
2019/1/29, 25, 8, , 25, , 
2019/1/30, 30, 23, , 34, , 
2019/1/31, 65, 33, , 38, , 
2019/2/1, 97, 22, , 42, , 
2019/2/2, 68, 10, , 33, , 
2019/2/3, 38, 9, , 30, , 
2019/2/4, 30, 7, , 13, , 
2019/2/5, 25, 10, , 14, , 
2019/2/6, 30, , , 40, , 
2019/2/8, 68, 30, , 38, , 
2019/2/9, 78, 51, , 42, , 
2019/2/10, 134, 46, , 36, , 
2019/2/11, 119, 18, , 34, , 
2019/2/12, 46, 21, , 44, , 
2019/2/13, 63, 26, , 38, , 
2019/2/14, 70, 44, , 53, , 
2019/2/15, 102, 44, , 46, , 
2019/2/16, 104, 24, , 38, , 
2019/2/17, 63, 44, , 46, , 
2019/2/18, 104, 48, , 47, , 
2019/2/19, 117, 40, , 43, , 
2019/2/20, 102, 25, , 41, , 
2019/2/21, 68, 33, , 40, , 
2019/2/22, 87, 44, , 41, , 
2019/2/23, 104, 20, , 33, , 
2019/2/24, 55, 11, , 13, , 
2019/2/25, 30, 9, , 22, , 
2019/2/26, 25, 20, , 43, , 
2019/2/27, 55, 31, , 47, , 
2019/2/28, 74, 40, , 38, , 
2019/3/1, 91, 45, , 38, , 
2019/3/2, 95, , , 51, , 
2019/3/3, 139, 33, , 30, , 
2019/3/4, 89, 29, , 36, , 
2019/3/5, 65, 29, , 40, , 
2019/3/6, 42, 31, , 35, , 
2019/3/7, 65, 27, , 33, , 
2019/3/8, 59, 20, , 34, , 
2019/3/9, 38, 26, , 37, , 
2019/3/10, 57, 30, , 33, , 
2019/3/11, 70, 21, , 29, , 
2019/3/12, 57, 10, , 39, , 
2019/3/13, 25, 23, , 34, , 
2019/3/14, 70, 22, , 33, , 
2019/3/15, 57, 27, , 33, , 
2019/3/16, 46, 27, , 34, , 
2019/3/17, 55, 20, , 14, , 
2019/3/18, 34, 10, , 23, , 
2019/3/19, 25, 7, , 13, , 
2019/3/20, 17, 10, , 9, , 
2019/3/21, 25, 14, , 8, , 
2019/3/22, 42, 16, , 13, , 
2019/3/23, 50, , , 16, , 
2019/3/25, 59, , , 31, , 
2019/3/27, 13, 8, , 10, , 
2019/3/28, 21, 9, , 9, , 
2019/3/29, 21, 9, , 11, , 
2019/3/30, 30, 17, , 31, , 
2019/3/31, 50, 20, , 31, , 
2019/4/1, 57, 24, , 34, , 
2018/10/2, 42, 5, , 9, , 
2018/10/3, 13, 9, , 34, , 
2018/10/4, 21, 9, , 9, , 
2018/10/5, 25, 10, , 9, , 
2018/10/6, 34, 11, , 11, , 
2018/10/7, 42, 12, , 17, , 
2018/10/8, 38, 16, , 19, , 
2018/10/9, 46, 18, , 28, , 
2018/10/10, 57, 27, , 30, , 
2018/10/11, 74, , , 30, , 
2018/10/13, 74, 30, , 29, , 
2018/10/14, 85, 30, , 17, , 
2018/10/15, 78, 30, , 35, , 
2018/10/16, 78, 15, , 9, , 
2018/10/17, 55, 10, , 8, , 
2018/10/18, 38, , , 8, , 
2018/10/20, 70, 34, , 27, , 
2018/10/21, 82, 25, , 22, , 
2018/10/22, 70, 10, , 9, , 
2018/10/23, 30, 15, , 17, , 
2018/10/24, 46, 29, , 41, , 
2018/10/25, 65, 33, , 37, , 
2018/10/26, 70, 32, , 32, , 
2018/10/27, 68, 20, , 27, , 
2018/10/28, 38, 21, , 27, , 
2018/10/29, 38, 34, , 21, , 
2018/10/30, 53, 10, , 27, , 
2018/10/31, 21, , , 25, , 
2018/11/4, 17, 13, , 11, , 
2018/11/5, 34, 13, , 26, , 
2018/11/6, 30, 19, , 35, , 
2018/11/7, 50, 20, , 30, , 
2018/11/8, 53, 22, , 29, , 
2018/11/9, 57, 24, , 36, , 
2018/11/10, 55, 24, , 27, , 
2018/11/11, 59, 30, , 23, , 
2018/11/12, 82, 35, , 26, , 
